trait_id,vector_type,beta,trait_score_mean,coherence_score_mean,repetition_rate_mean,length_mean
hallucination,random,-17,20.0,97.0,0.011903626406123524,83.06666666666666
hallucination,random,-14,20.0,96.33333333333333,0.007341828560228891,83.46666666666667
hallucination,random,-11,20.0,96.33333333333333,0.010699036072583028,82.13333333333334
hallucination,random,-8,19.333333333333332,98.33333333333333,0.0052897395002658165,82.73333333333333
hallucination,random,8,19.333333333333332,98.66666666666667,0.004986213844481561,80.46666666666667
hallucination,random,11,19.333333333333332,98.0,0.0072629101317625904,76.86666666666666
hallucination,random,14,19.333333333333332,97.66666666666667,0.004461279461279461,74.46666666666667
hallucination,random,17,19.333333333333332,96.33333333333333,0.007344417828288796,75.93333333333334
hallucination,trait,-17,86.66666666666667,2.6666666666666665,0.9685393258426966,180.0
hallucination,trait,-14,33.333333333333336,2.0,0.8283093831065955,177.53333333333333
hallucination,trait,-11,0.0,38.333333333333336,0.23797431713887862,125.66666666666667
hallucination,trait,-8,0.0,96.0,0.027918387055139417,77.86666666666666
hallucination,trait,8,43.333333333333336,78.66666666666667,0.01029979150498183,115.13333333333334
hallucination,trait,11,93.33333333333333,13.333333333333334,0.33356031185229,71.4
hallucination,trait,14,100.0,2.6666666666666665,0.1303962703962704,20.8
hallucination,trait,17,100.0,2.0,0.17007531763629327,17.266666666666666
